"Nível_territorial","Seleção_atual","codigo_ibge","regint_id","city_id","city","nro_medicoes","tcp_down_median_mbps","tcp_up_median_mbps","rtt_median_ms","rtt_lost_package_pct","jitter_download_ms","jitter_upload_ms","nro_asns","medicoes_ipv6_porc"
"Federação","Brasil","11","1102","1100015","ALTA FLORESTA D'OESTE",42,17.265766,29.669999,63.662,1.5,2.388,3.32,4,16.6666666666667
"Federação","Brasil","11","1101","1100023","ARIQUEMES",260,29.243472,27.687064,51.946,0.1,1.311,1.29,6,0
"Federação","Brasil","11","1102","1100031","CABIXI",3,44.450104,70.081979,330.439,0,6.882,8.636,2,0
"Federação","Brasil","11","1102","1100049","CACOAL",249,33.971134,80.43038,57.125,0,1.13,0.811,9,20.4819277108434
"Federação","Brasil","11","1102","1100056","CEREJEIRAS",14,27.151911,19.2976275,53.411,0,4.752,7.374,3,0
"Federação","Brasil","11","1102","1100064","COLORADO DO OESTE",19,76.760597,50.416401,50,0,0.827,0.52,3,10.5263157894737
"Federação","Brasil","11","1102","1100072","CORUMBIARA",11,2.755286,12.056,51.2305,0,8.549,2.056,5,0
"Federação","Brasil","11","1102","1100080","COSTA MARQUES",12,10.411604,15.151033,57.993,0,2.842,1.763,2,25
"Federação","Brasil","11","1102","1100098","ESPIGÃO D'OESTE",28,12.617894,15.516502,66.186,1,3.586,6.102,3,0
"Federação","Brasil","11","1101","1100106","GUAJARÁ-MIRIM",315,16.476999,23.639228,72.254,0,1.727,1.012,7,6.66666666666667
"Federação","Brasil","11","1101","1100114","JARU",623,17.297742,21.967952,45.352,0,0.728,0.734,6,2.8892455858748
"Federação","Brasil","11","1102","1100122","JI-PARANÁ",3548,54.505379,56.404968,43.391,0,0.128,0.454,9,39.402480270575
"Federação","Brasil","11","1101","1100130","MACHADINHO D'OESTE",35,48.0639735,31.8820325,51.462,0,0.965,0.921,2,5.71428571428571
"Federação","Brasil","11","1102","1100148","NOVA BRASILÂNDIA D'OESTE",37,19.363768,37.52165,52.379,0.1,2.3655,2.2865,3,18.9189189189189
"Federação","Brasil","11","1102","1100155","OURO PRETO DO OESTE",58,34.161279,39.210754,51.606,0.5,1.094,1.022,4,6.89655172413793
"Federação","Brasil","11","1102","1100189","PIMENTA BUENO",181,75.656842,96.784382,42.495,0,0.62,0.779,4,16.0220994475138
"Federação","Brasil","11","1101","1100205","PORTO VELHO",2147,40.199584,51.025078,65.236,0,1.178,0.983,21,13.3674895202608
"Federação","Brasil","11","1102","1100254","PRESIDENTE MÉDICI",34,24.885516,19.387674,45.151,0.35,3.133,7.318,5,8.82352941176471
