	ndop
0	1879.0
1	1868.0
2	1869.0
3	1851.0
4	1857.0
5	1875.0
6	1872.0
7	
8	1676.0
9	1679.0
10	1802.0
11	1859.0
12	1888.0
13	1839.0
14	1897.0
15	1865.0
16	1860.0
17	1873.0
18	1866.0
19	1899.0
20	1814.0
21	1820.0
22	1800.0
23	1847.0
24	
25	
26	1893.0
27	1805.0
28	1837.0
29	1896.0
30	1898.0
31	1899.0
32	1892.0
33	1894.0
34	
35	
36	1899.0
37	
38	
39	1846.0
40	1893.0
41	1894.0
42	1817.0
43	1816.0
44	1817.0
45	1897.0
46	
47	1804.0
48	1859.0
49	1777.0
50	1799.0
51	1827.0
52	1866.0
53	1853.0
54	1874.0
55	1790.0
56	
57	1883.0
58	1795.0
59	1865.0
60	1877.0
61	1853.0
62	1886.0
63	
64	1852.0
65	1857.0
66	1866.0
67	1869.0
68	1853.0
69	1875.0
70	1827.0
71	1828.0
72	1876.0
73	1758.0
74	1846.0
75	1880.0
76	1823.0
77	1887.0
78	1825.0
79	1850.0
80	1810.0
81	1889.0
82	1872.0
83	1892.0
84	
85	
86	1872.0
87	1861.0
88	
89	1858.0
90	1860.0
91	1857.0
92	1857.0
93	
94	1878.0
95	1857.0
96	1821.0
97	1897.0
98	1891.0
99	1827.0
100	1808.0
101	1868.0
102	1886.0
103	1860.0
104	1810.0
105	1886.0
106	1880.0
107	1849.0
108	1860.0
109	1724.0
110	1772.0
111	1812.0
112	1873.0
113	1851.0
114	1835.0
115	1799.0
116	1875.0
117	1867.0
118	1837.0
119	1830.0
120	1841.0
121	1884.0
122	1880.0
123	1872.0
124	1837.0
125	1863.0
126	
127	1884.0
128	1894.0
129	1887.0
130	1883.0
131	1808.0
132	1848.0
133	1845.0
134	1877.0
135	1807.0
136	1874.0
137	1867.0
138	1892.0
139	1880.0
140	1873.0
141	1860.0
142	1878.0
143	1846.0
144	1864.0
145	
146	1822.0
147	1871.0
148	1829.0
149	1894.0
150	1848.0
151	1897.0
152	1877.0
153	1823.0
154	1891.0
155	1814.0
156	1824.0
157	1885.0
158	1877.0
159	1891.0
160	1847.0
161	1853.0
162	1841.0
163	1856.0
164	1850.0
165	1803.0
166	1874.0
167	1850.0
168	1818.0
169	1881.0
170	1874.0
171	1833.0
172	1863.0
173	1835.0
174	1838.0
175	1830.0
176	1838.0
177	1823.0
178	1824.0
179	1830.0
180	1818.0
181	1833.0
182	1865.0
183	1828.0
184	
185	1720.0
186	1878.0
187	1886.0
188	
189	1880.0
190	1883.0
191	
192	1855.0
193	1853.0
194	1894.0
195	1747.0
196	1748.0
